type|area|item|status|priority|reason_no|reason_en
frameworks|mobil|React Native|KEEP|FALSE|Kryssplattform som brukes av diverse prosjekter, bør ikke legge fra oss det helt enda. Flutter derimot kommer kjappere inn|Cross platform used by a number of projects - it should not be laid away, though Flutter will come more and more in
frameworks|mobil|UIKit|KEEP|FALSE|Bransjestandard for iOS native|Industry standard for iOS Native.
frameworks|mobil|XCTest|KEEP|FALSE|Bransjestandard for testing på iOS.|Industry standard for testing on iOS.
frameworks|mobil|Kotlin Multiplatform|TEST|FALSE|Kryssplattform i Kotlin, bør vurderes med tanke på styrkene til Kotlin og antall ressurser som enten kan Kotlin eller har bakgrunn i Java|Crossplatform with Kotlin, should be tested considering Kotlins strengths and the number of resources that have experience in Kotlin or Java
frameworks|mobil|Maui|TEST|FALSE|Arvtager etter Xamarin. Kan bli verdt å holde øye med - hovedsaklig for prosjekter som har sterk C# kompetanse som også ønsker å fokusere på mobil|Xamarin's inheritor. Can be useful to pay attention to - mainly for projects that have a strong C# compentence willing to work on mobile.
frameworks|mobil|Jetpack Compose|TRIAL|TRUE|Moderne funksjonelt rammeverk for Android native. Kjappere enn tradisjonell native android, men fortsatt relativt nytt og ikke alltid like god integrasjon.|Modern functional framework for native Android development. Faster than traditional native Android, but still relatively new and not always as good integration
frameworks|mobil|Kotlin Flow Compose|TRIAL|FALSE|Reaktiv programmering for Jetpack Compose, kan brukes i prosjekter nå som det er stabilt|Reactive programming for compose with Flow, can be used in projects now that its stable.
methods|mobil|e2e-testing|KEEP|FALSE|Bransjestandard|Industry standard.
methods|mobil|Feature modularization|KEEP|FALSE|Enkapsulering av features for enklere distribuering og inkludering er fortsatt noe som bør gjøres|Encapsulation of features for ease of distribution and inclusion is still something that should be done.
methods|mobil|MVVM|KEEP|FALSE|Bransjestandard for Android. Rent og ryddig for både iOS og Android derimot.|Industry standard for Android. Clean and a good pattern for both iOS and Android though.
methods|mobil|Cross platform|ADOPT|TRUE|Å redusere tid til marked har blitt en mye større prioritet enn før og antall mobilressurser er knapt. Spesielt når man må splitte det på to plattformer. Kryssplattform kommer til å bli viktigere og viktigere framover.|Reducing time-to-market is even bigger priority than before and the number of mobile resources are tight. Especially when having to split them to two different platforms. Crossplatform will be more and more important as time goes on.
methods|mobil|Domain Driven Design|ADOPT|TRUE|Et relativt moderne arktitekturelt pattern som bør brukes.|A relatively modern architectural pattern that should be used.
methods|mobil|Server-driven UI|TEST|FALSE|Noe som bør testes ut, en interessant vei å fare siden Spotify begynte med det. Holder appen native men kan endre på det visuelle som om det er nettsider|Someething that should be tested and is an interesting path to take ever since Spotify startet it. Keeps the app native but you can change the visual aspects like web.
methods|mobil|MVP|HOLD|FALSE|Eldre design pattern som ikke holder helt samme utbredelsen som MVVM og bør fases ut|Older design pattern that doesn't quite match MVVM anymore and should be phased out.
methods|mobil|MVC|HOLD|FALSE|Eldre design pattern som ikke holder helt samme utbredelsen som MVVM og bør fases ut|Older design pattern that doesn't quite match MVVM anymore and should be phased out.
tools|mobil|Draw.io|KEEP|FALSE|Bransjestandard verktøy for arkitektur og flyt skissering. Nyttig verktøy enda.|Industry standard tool for architectural and flow schematics. Still a useful tool.
tools|mobil|Figma|ADOPT|FALSE|Nyeste design verktøy med god støtte for mobile flater. Bør brukes om mulig.|Newest design tool with good support for mobile designs. Should be used if possible.
tools|mobil|JUnit|KEEP|FALSE|Bransjestandard|Industry standard.
tools|mobil|Sourcetree|KEEP|FALSE|Hendig verktøy for versjonskontroll|Useful tool for version control.
tools|mobil|Android Studio|KEEP|FALSE|Bransjestandard IDE|Industry standard IDE.
tools|mobil|Xcode|KEEP|FALSE|Bransjestandard IDE|Industry standard IDE.
tools|mobil|TestFlight|KEEP|FALSE|Bransjestandard test verktøy, må brukes for å publisere test apper til testere på iOS|Industy standard test tool, must be used for publishing apps to testers on iOS
tools|mobil|Visual Studio Code|KEEP|FALSE|Bransjestandard IDE for Flutter (og andre selvsagt)|Industry standard IDE for Flutter (and others of course).
tools|mobil|Cocoapods|KEEP|FALSE|Bransjestandard|Industry standard.
tools|mobil|Firebase Cloud Messaging|KEEP|FALSE|Essensielt og bransjestandard for notifikasjoner på Android|Essential and industry standard for notifications on Android.
tools|mobil|GitLab CI/CD|TEST|FALSE|GitLab og automatisk bygging før klart prøves ut.|GitLab and automation for building should of course be tested.
tools|mobil|GCP|ADOPT|FALSE|Skyløsningen til Google er klart noe som bør fokuseres på med tanke på avhengighet til Firebase for Android|Googles cloud solution is something that should clearly be focused on considering dependency to Firebase for Android
tools|mobil|Firebase|ADOPT|TRUE|Android trenger en form for Firebase integrasjon for notifikasjoner. I tillegg til de andre fordelene gjør det Firebase til et nærmest go-to verktøy for alt for mobilutvikling.|Android needs a form of integration towards Firebase for notifications. In addition to the other advantages it makes Firebase a near go-to solution for everything in mobile development.
tools|mobil|Azure|ADOPT|TRUE|Vanligst brukt av offentlige og større bedrifter, Azure har gode integrasjoner for mobil og bør fokuseres mer på.|Commonly used by bigger or public companies, Azure has good integrations towards mobile and should be focused on.
tools|mobil|Github Actions|ADOPT|FALSE|Github Actions gir gode muligheter for automasjon for mer enklere prosjekter men også for større som ikke er bundet av eksisterende platforms og bør klart fokuseres på|Github Actions gives good opportunities for automation for simpler projects but also for bigger that are not bound by existing platforms and should be focused on
tools|mobil|Firebase ML|TEST|FALSE|Maskinlæring vil ikke bli redusert med tiden og Firebase sin ML komponent bør klart testes ut|Machine learning will not go down with time and the Firebase ML module should clearly be tested
tools|mobil|Unity 3D|TEST|FALSE|Unity er en klar markedsleder for mobile applikasjoner som krever et mye større grafisk grensesnitt, med kryssplattform støtte. Bør testes ut om mulig.|Unity is a market leader in mobile apps with a greater graphical requirement with crossplatform support. Should be tested if possible.
tools|mobil|IntelliJ|HOLD|FALSE|IntelliJ Idea er en dårlig løsning for Android da Android Studio også lages av JetBrain. For iOS finnes AppCode, men Xcode har kommet såpass på banen at det ikke er poeng med denne lenger|IntelliJ Idea is an bad solution for Android as Android Studio is also made by JetBrain. For iOS there is AppCode, but XCode has gotten so far that there is little point with this anymore.
tools|mobil|Eclipse|HOLD|FALSE|Gammelt IDE for Android native. Brukes ikke lenger siden Android Studio tok over. Faset ut.|Old IDE for Android native. Not in use anymore since Android Studio took over. Phased out.
tools|mobil|Invision|KEEP|FALSE|En av de vanligste bransjeverktøy for design av mobile flater. Bør holde oss oppdatert inntil det er faset ut med Figma som blir mer og mer aktuelt.|One of the more common design tools for mobile design. We should keep updated until it is phased out with Figma which is more and more in the wind.
tools|mobil|Carthage|HOLD|FALSE|Et forsøk på å desentralisere cocoapods, men er komplisert og ikke like godt kjent/brukt i prosjekter. Bør fases ut.|An attempt to decentralize CocoaPods but more complex and not that big use in projects. Should be phased out.
tools|mobil|Sketch|HOLD|FALSE|Design verktøy som ikke er særlig relevant lenger med tanke på Invision og Figma. Fases ut.|Design tool that is not very relevant anymore considering Invision and Figma. Phasing out.
frameworks|design|UU|ADOPT|TRUE|Hensikten er å oppnå like muligheter til samfunnsdeltakelse og motvirke diskriminering på grunnlag av nedsatt funksjonsevne.|The purpose of UU is to plan products, services and enviroments in order to make them usable for all persons. In this way helps people to achieve equal opportunities for social participation and to counteract discrimination based on reduced functional capacity.
frameworks|design|WCAG|ADOPT|TRUE|Retningslinjer for tilgjengelig webinnhold og internasjonal standard for universell utforming av nettsider og apper. WCAG 2.1 standarden en del av norsk lov og dermed et krav for alle offentlige nettsteder.|Web Content Accessibility Guidelines for web content and is the international standard for universal design of websites and apps. The WCAG 2.1 standard is part of Norwegian law and thus a requirement for all public websites.
frameworks|design|Design system|ADOPT|FALSE|Et designsystem er en samling av gjenbrukbare komponenter. Det er et bibliotek og rammeverk for en virksomhets digitale strategi og identitet. Komponentene kan ses på som byggesteiner for å lage en helhetlig nettside. Det kan bidra til en god brukeropplevelse, men gjør også både kode og design mer effektivt.|A design system is a collection of reusable components. It is a library and framework for a company's digital strategy and identity. The components can be seen as building blocks to create a comprehensive website. It can contribute to a good user experience, but also makes both code and design more efficient.
frameworks|design|Storybook|ADOPT|FALSE|Gir en oversikt over eksisterende komponenter både for designere og utviklere. Alle elementene i et produkt kan plasseres der for å skape et levende designsystem. Både designere, utviklere og produkteiere kan det direkte fra nettleseren.|Gives an overview of existing components both for designers and developers. All the elements of a product can be placed there to create a living design system. Both designers, developers and product owners can access directly from the browser.
frameworks|design|Autonome team|ADOPT|TRUE|Komplekse problemer løses best i team med stor grad av autonomi. Dette medfører økt innovasjon og nøyaktighet i problemløsning. Mindre behov for eksterne ledere, gir økt produktivitet og forutsetning for smidighet (agile) og folk er mer fornøyde|Complex problems are best solved in teams with a high degree of autonomy. This leads to increased innovation and accuracy in problem solving. Less need for external managers, gives increased productivity and prerequisite for flexibility (agile) and people are more satisfied.
frameworks|design|Business design|TRIAL|FALSE|Business designer er en forretningsutvikler med et designtankesett i bunn, eller en designer som også inkluderer et forretningstankesett i sitt arbeid. |Business designer is a business developer with a design mindset at the bottom, or a designer who also includes a business mindset in her/his work.
frameworks|design|UX design|KEEP|FALSE|User experience design, handler om å forbedre totalopplevelsen et menneskelig  har i møte med et digitalt produkt, en tjeneste eller et system. Disse interaksjonene skal maksimere brukerens følelse av måloppnåelse og samtidig minimere frustrasjoner.|User experience design is about improving the overall experience a person has when dealing with a digital product, service or system. These interactions should maximize the user's sense of goal achievement while minimizing frustration.
frameworks|design|Service design|KEEP|FALSE|Tjenestedesign er en fagretning innen design med mål om å utvikle brukerrettede og helhetlige tjenester. Tjenester produseres og forbrukes samtidig. Kunden er en av medskaperne av tjenesten.|Service design is a discipline within design with goals about developing user-oriented and holistic services. Services are produced and consumed at the same time. The customer is one of the co-creators of the service.
methods|design|Personas/ Archetypes|KEEP|FALSE|Personas er fiktive karakterer, som du lager basert på forskningen din for å representere de forskjellige brukertypene som kan bruke tjenesten, produktet, nettstedet eller merkevaren din på lignende måter.|Personas are fictional characters, which you create based upon your research in order to represent the different user types that might use your service, product, site, or brand in a similar way. 
methods|design|Service blueprint|KEEP|FALSE|Service Blueprint er en teknikk som opprinnelig ble brukt for tjenestedesign, men har også funnet applikasjoner for å diagnostisere problemer med driftseffektivitet.|The service blueprint is a technique originally used for service design, but has also found applications in diagnosing problems with operational efficiency.
methods|design|Customer journey|KEEP|FALSE|En kundereise er en visualisering av prosessen som en person går gjennom for å oppnå et mål.|A CS is map is a visualization of the process that a person goes through in order to accomplish a goal.
methods|design|Design sprint|HOLD|FALSE|En designsprint er en tidsbegrenset, fem-fase prosess som bruker designtenkning med sikte på å redusere risikoen ved å bringe et nytt produkt, en tjeneste eller en funksjon til markedet.|The sprint is a five-day process for answering critical business questions through design, prototyping, and testing ideas with customers.
methods|design|Spørreundersøkelse|HOLD|FALSE|En spørreundersøkelse bør bestå av Tema / Problemstilling / Hypoteser / Spørsmål|A survey should consist of a Theme / Problem / Hypotheses / Questions
methods|design|Design thinking|KEEP|FALSE|Design Thinking er en iterativ, ikke-lineær prosess som fokuserer på et samarbeid mellom designere og brukere.|Design thinking is an iterative, non-linear process which focuses on a collaboration between designers and users. 
methods|design|Observation|KEEP|FALSE|Kan være å gi brukere en oppgave eller en prototype for å se hvordan de utfører den eller bruker den.|Could be to give users a task or a prototype to see how they perform it or use it.
methods|design|Crazy eights|HOLD|FALSE|Crazy 8's er en kjernemetode for Design Sprint. Det er en rask skisseøvelse som utfordrer folk til å skissere åtte forskjellige ideer på åtte minutter.|Crazy 8's is a core Design Sprint method. It is a fast sketching exercise that challenges people to sketch eight distinct ideas in eight minutes.
methods|design|Card sorting|ADOPT|FALSE|Kortsortering er en metode brukt til blant annet design av brukeropplevelser, og kan gi innspill til struktur til f.eks. et nettsted (kan brukes i brukertester).|Card sorting is a method used for the design of user experiences, and can provide input for the structure of e.g. a website (can be used in user tests).
methods|design|Workshops|KEEP|TRUE|En design thinking workshop er tilrettelagt møte hvor tverrfaglige team planlegger og prototyper brukersentrerte design.|A Design Thinking workshop is facilitated meeting where multi-disciplinary teams plan and prototype user-centered designs. 
methods|design|Costumer journey|KEEP|FALSE|En kundereise er en visualisering av prosessen som en person går gjennom for å oppnå et mål.|A CS is map is a visualization of the process that a person goes through in order to accomplish a goal.
methods|design|Test av design på brukere med spesielle behov|ADOPT|TRUE|Hvordan forstå om et design faktisk fungerer med brukere med spesielle behov. En prioritet på grunn av UU-reglene og inkluderende designbehov.|How to understand if a design actually works with users with special needs. A priority because of the UU rules and inclusive design needs.
methods|design|MoSCoW prioritization|KEEP|FALSE|MoSCoW er en prioriteringsmetode som ofte blir brukt innenfor ledelse, prosjektledelse, virksomhetsanalyse og spesielt i smidige team.|MoSCoW is a prioritization method that is often used within management, project management, business analysis and especially in agile teams.
methods|design|User stories|KEEP|FALSE|En brukerhistorie er en beskrivelse av funksjonen til en programvare sett fra et brukerperspektiv. |A user story is a description of the function of a software from a user's perspective.
methods|design|User story maps|KEEP|FALSE|Kartlegging av brukerhistorier er en enkel, samarbeidsøvelse som hjelper deg med å definere brukerens reise med et produkt eller en tjeneste, hvor det finnes hull og hva det kan bli.|User story mapping is a simple, collaborative exercise that helps you define your user’s journey with your product., where any gaps exist, and what it could be
methods|design|Affinity mapping|KEEP|FALSE|En metode for å merke alle ideer og kategorisere dem basert på deres likheter med hverandre, gir mulighet for en sterkere organisering av ideer, og til slutt en mer organisert handlingsplan.|A method of labeling ideas and categorizing them based on their similarities to each other allows for a stronger organization of ideas, and ultimately a more organized plan of action.
methods|design|Brukertest|KEEP|TRUE|Brukertesting handler om å teste løsninger på ekte brukere i en realistisk kontekst. Det er sele nøkkelen i en brukersentrert designprosess.|User testing is about testing solutions on real users in a realistic context. It is the key to a user-centered design process.
methods|design|Gerillija testing|KEEP|FALSE|Geriljatesting er en metode å brukerteste på, der du tar en idé eller et uferdig konsept og tester det raskt med folk på gata.|Guerrilla testing is a method where you take an idea or an unfinished concept and quickly test it with people on the street
methods|design|Stakeholder mapping|KEEP|FALSE|Interessentanalyse er prosessen med å vurdere et system og potensielle endringer i det når de forholder seg til relevante og interesserte parter. |Stakeholder mapping is the process of assessing a system and potential changes to it as they relate to relevant and interested parties.
methods|design|Double/ Triple diamond|KEEP|FALSE|Den doble diamanten består av fire steg. I den første diamanten skal vi 1) Oppdage og 2) Definer. Den andre diamanten setter deg på sporet av å 3) Utvikle og 4. Levere.|The double diamond consists of four steps. In the first diamond we will 1) Discover and 2) Define. The second diamond puts you on the track to 3) Develop and 4. Deliver.
methods|design|Brukerintervju|KEEP|FALSE|Brukerintervju er en kvalitativ metode i for å kartlegge en brukers behov eller forstå opplevelsen av en bestemt tjeneste eller et produkt.|User interviews are a qualitative method for mapping a user's needs or understanding the experience of a particular service or product
methods|design|Mind map|ADOPT|FALSE|Hjelper deg visuelt å organisere ideer og lage tankekartillustrasjoner.|Helps you visually organize ideas and create mind map illustrations.
methods|design|Paper prototype|HOLD|FALSE|Papirprototyping er en proses for å utvikle ideer og designe brukerflyter ved å bruke håndskisserte "skjermer" som representerer et digitalt produkt.|Paper prototyping is the process of developing ideas and designing user flows using hand-sketched “screens” that represent a digital product. 
methods|design|Innsiktsfasen|HOLD|FALSE|I innsiktsfasen skapes en felles forståelse av designprosessen, og det settes forventninger og retningslinjer for alle involverte aktører i prosjektet.  Fokusområder: Kartlegge behov. Definere målgruppe.|In the insight phase, a common understanding of the design process is created, and expectations and guidelines are set for all actors involved in the project. Focus areas: Mapping needs. Define target group.
methods|design|5 why's|KEEP|FALSE|Five whys er en iterativ spørreteknikk som brukes til å utforske årsak-og-virkning-sammenhengene som ligger til grunn for et bestemt problem.|5 whys is an iterative interrogative technique used to explore the cause-and-effect relationships underlying a particular problem. 
methods|design|Sitemap|KEEP|FALSE|Sitemap er en organisering og visualisering av sidestruktur|Sitemap is an organization and visualization of a site structure
methods|design|Iterativ helle tiden|KEEP|FALSE|Å definere hypoteser, og teste og justere dem er det beste alternativet til fossefall. Å jobbe iterativt tillater tilpasninger til nye situasjoner, teknologi eller strategiendringer.|Defining hypotheses, and testing and adjusting them is the best alternative to waterfall thinking. Working iteratively allows adjustments to new situations, technology or strategy changes. 
methods|design|Måle Opplevd effekt|ADOPT|FALSE| Måter å synliggjøre hvilke resultater en innsatsen har ført til – for bedriften og for brukerne deres.|Ways to make results clear and visable, baseed on various measures - for a company and for their users.
methods|design|Utvikle / forstå menneske-maskin-interaksjon|ADOPT|FALSE|Studien omkring interaksjonen mellom mennesker og datamaskiner.|The study of the interaction between humans and computers.
methods|design|Accessibility and inclusive design|ADOPT|FALSE|Inkluderende design etterstreber å skape barrierefrie rom. Inkluderende design gjør tjenster brukervennlige og nyttige for alle,|Inclusive design examples look to create barrier-free spaces. Inclusive design makes places usable by everyone,
tools|design|Google meet|KEEP|TRUE|Et uunnværlig verktøy siden pandemien. Vi er enda nærmere raske møter og avgjørelser nå i stedet for å skrive endeløse e-poster.|An indispensable tool since the pandemic. We are even closer now and connect face to face with fast meetings instead of writing endless emails. 
tools|design|Google calendar|KEEP|TRUE|Tidsstyring gjort enkel og effektiv. |Time management made simple and efficient. Fantastic use flow.
tools|design|Figma|KEEP|TRUE|Figma er raskt i ferd med å bli designerens favoritt plattform, med smidig teamarbeid og gjenbrukbare elementer for både designere og utviklere.|Figma is quickly becoming the designers platform, with direct team work and simultaneously  shaping new ground when it comes to creation of reusable elements approaching designer and developerseven more.
tools|design|Miro|KEEP|TRUE|Visuelt samarbeidsverktøy. Enkelt å onboarde nye deltakere på få minutter, kraftig nok til komplekse workshops, innsiktsarbeid og planlegging.|Visual collaboration tool. Simple enough to onboard a new person in minutes, powerful enough to deep workshops, insight work and planing.
tools|design|Slack|KEEP|TRUE|Den eneste måten å kommunisere raskt på i et selskap i dag. Svært enkelt i bruk.|The email killer. The only way to communicate in a company nowadays. Simple, clean and right to the point.
tools|design|Penn og papir|KEEP|FALSE|Noen ganger er de enkle løsningene de som kommuniserer på den raskeste og mest tilgjengelige måten :pencil2: :page_facing_up:|Sometimes the simple solutions are the ones that communicate fastest. 
tools|design|trello|KEEP|FALSE|Gratis brukervennlig kanban-tavle som er enkel å tilpasse. Brukes til oppgavehåndtering og oversikt. |Free customizable and user friendly kanban board. Used for task management and overview.
tools|design|Pocket|KEEP|FALSE|En gratis tjeneste for lagre kategorisere og merke artikler. Kan brukes som en kunnskapssamling for å samle og organisere de mer relevante informasjonskildene og gjøre dem lett tilgjengelige.|A free service for save categorize and tag articles. Can be used as a knowledge pool to gather and organize the more relevant information sources and make them easily accessible.
tools|design|Testflow|KEEP|FALSE|Norsk rekrutterings- og brukertesttjeneste. Integrert med Figma og tillater semi-automatisert og umoderert brukertesting med kvalitative spørsmål og svar.|Norwegian recruitment and user test service. Integrated with Figma allows semi-automated and unmoderated user testest with qualitative questions and answers. 
tools|design|Figma:plugin: Iconify|KEEP|FALSE||
tools|design|Figma:plugin: Unsplash|KEEP|FALSE||
tools|design|Figma:plugin: Contrast|KEEP|FALSE||
tools|design|Figma:plugin: Similayer|KEEP|FALSE||
tools|design|Figma:plugin: Color blind|KEEP|FALSE||
tools|design|Figma:plugin: Contrast|KEEP|FALSE||
tools|design|Klistrelapper|KEEP|FALSE|Et av designerens foretrukne verktøy. Sortering med ulike farger og med riktig størrelse for et enkelt ord eller en setning. De kan grupperes, flyttes, limes og går aldri tom for batterier.|The designer preferred office tools. Colourful with the right size for a single word or a sentence. They can be grouped, moved, glued and never run out of batteries.
tools|design|Moodboards|KEEP|FALSE||
languages|frontend|WebAssembly|TEST|FALSE|WebAssembly kan i visse tilfeller gi økt ytelse, men vær obs på at just-in-time-kompilering ofte gjør at vanlig Javascript er like vel-ytende.|
languages|frontend|Imba (programmeringsspråk)|TEST|FALSE|Kortfattet prototyping-språk.|
languages|frontend|clojure + fulcro|TEST|FALSE||
languages|frontend|JavaScript uten typer (JSdoc-TS er regnet som typet)|HOLD|TRUE|Typescript som ikke trenger å transpileres kan gi mindre teknisk gjeld. Foreløpig er det en stor nok utfordring å få alle prosjekter til å bruke typer.|
languages|frontend|ESNext|ADOPT|TRUE|Bruk nye EcmaScript-språkfunksjoner (som er i stage 3 og 4) og transpiler fremfor å bruke gammeldags kode.|
languages|frontend|TypeScript|ADOPT|TRUE|Typing av Javascript er kommet for å bli i langtlevde prosjekter.|
languages|frontend|GraphQL|ADOPT|TRUE|GraphQL er en moden teknologi som passer godt for sine bruksområder.|
languages|frontend|Elm|HOLD|FALSE|Aktiv utvikling har tilsynelatende stoppet opp.|
languages|frontend|Flow|HOLD|FALSE|Typescript er et betydelig bedre alternativ.|
languages|frontend|PHP|HOLD|FALSE|Server-side-rendering av apper skrevet i rammeverk som også egner seg for klientsiden (React, Vue, Svelte) er et mer fleksibelt alternativ enn et rent server-side-språk.|
frameworks|frontend|React|KEEP|TRUE|React er bransjestandarden for øyeblikket, og duger godt til jobben sin.|
frameworks|frontend|Ant design|KEEP|FALSE||
frameworks|frontend|react-query (Erstattes av SWR i methods)|ADOPT|TRUE||
frameworks|frontend|testing-library|ADOPT|TRUE|testing-library er et bibliotek med testfunksjoner, implementert for ulike verktøy (Jest, Cypress). I tillegg til å være arbeidsbesparende, er det en fordel å ha et standard-«vokabular» man kan forholde seg til enda man bytter prosjekt eller testverktøy.|
frameworks|frontend|Next|ADOPT|TRUE|Next gjør det lett å lage webapplikasjoner som følger alle kunstens regler uten at man legger mye arbeid i det. Andre alternativer eksisterer (Remix, SvelteKit), men ingen er så modne som Next.|
frameworks|frontend|Vue|ADOPT|TRUE|Vue er et av de tre store rammeverkene om dagen (React og Svelte er de to andre). Hvis man synes Vue er passende for et prosjekt, må man gjerne bruke dette.|
frameworks|frontend|Jest|ADOPT|TRUE|Standard-testverktøyet for enhetstester.|
frameworks|frontend|Cypress|ADOPT|TRUE|Standard-testverktøyet for ende-til-ende-tester.|
frameworks|frontend|SWR (Erstattes av SWR i methods)|ADOPT|FALSE||
frameworks|frontend|Material-ui|ADOPT|FALSE|Et godt designbibliotek utviklet av Google. Etter vår vurdering mer egnet for mobilskjermer enn for datamaskin.|
frameworks|frontend|Gatsby|ADOPT|FALSE|En god statisk-side-generator.|
frameworks|frontend|Razzle (SSR for alle rammeverk)|TRIAL|FALSE||
frameworks|frontend|Tailwind|TRIAL|TRUE|Tailwind sparer en for mye komplisert CSS og holder bundle-størrelsen nede. De som bruker det er så fornøyde at vi kan anbefale det for de fleste.|
frameworks|frontend|Svelte/ svelte-kit|TRIAL|TRUE|Svelte-kit er Svelte-alternativet til Next (der Next baserer seg på React). Apper skrevet i Svelte-kit blir mindre, men mengden tilgjengelige funksjoner er noe mindre i SvelteKit for tiden. Velg Next om du er i tvil.|
frameworks|frontend|Fastify/koa (erstatning for Express)|TRIAL|TRUE||
frameworks|frontend|flutter|TEST|FALSE|Vår begrensede erfaring med Flutter for Web gjør at vi ønsker at utviklerne våre skal gjøre varsomme forsøk med det.|
